    0.000,    0.617,    0.004,    0.101,    0.001
    0.001,    0.718,    0.006,    0.177,    0.001
    0.001,    0.781,    0.009,    0.267,    0.002
    0.001,    0.788,    0.011,    0.360,    0.002
    0.002,    0.748,    0.014,    0.450,    0.003
    0.002,    0.683,    0.016,    0.542,    0.003
    0.002,    0.583,    0.018,    0.644,    0.004
    0.002,    0.496,    0.020,    0.773,    0.005
    0.002,    0.426,    0.022,    0.913,    0.006
    0.002,    0.373,    0.024,    1.061,    0.006
    0.002,    0.330,    0.026,    1.215,    0.007
    0.002,    0.296,    0.028,    1.377,    0.008
    0.002,    0.267,    0.031,    1.559,    0.009
    0.002,    0.243,    0.033,    1.739,    0.010
    0.002,    0.223,    0.035,    1.918,    0.011
    0.002,    0.213,    0.037,    2.109,    0.012
    0.002,    0.222,    0.040,    2.348,    0.013
    0.003,    0.236,    0.043,    2.674,    0.015
    0.003,    0.243,    0.047,    3.045,    0.017
    0.004,    0.237,    0.051,    3.441,    0.020
    0.004,    0.221,    0.055,    3.882,    0.022
    0.004,    0.202,    0.059,    4.319,    0.024
    0.004,    0.183,    0.062,    4.753,    0.026
    0.004,    0.166,    0.066,    5.203,    0.028
    0.004,    0.156,    0.070,    5.657,    0.031
    0.004,    0.149,    0.073,    6.140,    0.033
    0.004,    0.143,    0.077,    6.651,    0.036
    0.005,    0.148,    0.082,    7.226,    0.039
    0.005,    0.157,    0.087,    7.928,    0.043
    0.006,    0.154,    0.092,    8.684,    0.047
    0.006,    0.144,    0.098,    9.456,    0.050
    0.006,    0.136,    0.103,   10.237,    0.054
    0.006,    0.128,    0.108,   11.058,    0.058
    0.006,    0.118,    0.113,   11.867,    0.062
    0.006,    0.109,    0.118,   12.674,    0.066
    0.005,    0.100,    0.122,   13.458,    0.070
    0.006,    0.096,    0.127,   14.272,    0.074
    0.006,    0.093,    0.132,   15.104,    0.078
    0.006,    0.088,    0.137,   15.949,    0.083
    0.006,    0.085,    0.142,   16.808,    0.087
    0.006,    0.085,    0.147,   17.714,    0.092
    0.006,    0.083,    0.153,   18.659,    0.097
    0.006,    0.079,    0.158,   19.610,    0.101
