    0.001,    0.681,    0.019,    0.196,    0.035
    0.001,    0.556,    0.024,    0.249,    0.048
    0.001,    0.482,    0.026,    0.279,    0.054
    0.001,    0.438,    0.028,    0.300,    0.059
    0.001,    0.418,    0.028,    0.314,    0.061
    0.001,    0.408,    0.029,    0.322,    0.063
    0.001,    0.402,    0.029,    0.327,    0.064
    0.001,    0.398,    0.029,    0.330,    0.064
    0.001,    0.396,    0.030,    0.332,    0.065
    0.001,    0.395,    0.030,    0.333,    0.065
    0.001,    0.395,    0.030,    0.334,    0.065
    0.001,    0.394,    0.030,    0.334,    0.065
    0.001,    0.394,    0.030,    0.334,    0.065
    0.001,    0.395,    0.030,    0.335,    0.065
    0.001,    0.395,    0.030,    0.335,    0.065
    0.001,    0.416,    0.030,    0.347,    0.067
    0.002,    0.456,    0.032,    0.377,    0.073
    0.002,    0.477,    0.034,    0.409,    0.080
    0.002,    0.487,    0.036,    0.437,    0.085
    0.002,    0.478,    0.037,    0.452,    0.088
    0.002,    0.467,    0.037,    0.456,    0.089
    0.002,    0.460,    0.037,    0.455,    0.088
    0.002,    0.455,    0.037,    0.452,    0.088
    0.002,    0.452,    0.036,    0.449,    0.087
    0.002,    0.467,    0.037,    0.456,    0.089
    0.002,    0.468,    0.037,    0.462,    0.090
    0.002,    0.480,    0.038,    0.473,    0.092
    0.003,    0.524,    0.040,    0.513,    0.100
    0.003,    0.540,    0.042,    0.553,    0.108
    0.003,    0.524,    0.043,    0.567,    0.110
    0.003,    0.509,    0.043,    0.566,    0.110
    0.003,    0.519,    0.043,    0.574,    0.112
    0.003,    0.514,    0.043,    0.577,    0.112
    0.003,    0.504,    0.043,    0.570,    0.111
    0.003,    0.497,    0.042,    0.561,    0.109
    0.003,    0.492,    0.042,    0.551,    0.107
    0.003,    0.547,    0.045,    0.601,    0.117
    0.003,    0.530,    0.045,    0.608,    0.118
    0.003,    0.520,    0.045,    0.607,    0.118
    0.003,    0.531,    0.045,    0.615,    0.120
    0.003,    0.545,    0.046,    0.634,    0.123
    0.003,    0.539,    0.047,    0.640,    0.125
    0.003,    0.530,    0.046,    0.637,    0.124
    0.003,    0.540,    0.047,    0.644,    0.125
    0.004,    0.560,    0.048,    0.666,    0.130
    0.004,    0.553,    0.048,    0.676,    0.131
    0.004,    0.542,    0.048,    0.671,    0.130
    0.004,    0.535,    0.048,    0.662,    0.129
    0.005,    0.659,    0.055,    0.821,    0.160
    0.005,    0.624,    0.057,    0.855,    0.167
    0.005,    0.621,    0.058,    0.878,    0.171
    0.006,    0.626,    0.059,    0.901,    0.175
    0.006,    0.654,    0.061,    0.947,    0.184
    0.007,    0.663,    0.063,    0.992,    0.193
    0.007,    0.663,    0.065,    1.019,    0.198
    0.007,    0.664,    0.065,    1.038,    0.202
    0.007,    0.653,    0.065,    1.037,    0.202
    0.007,    0.656,    0.065,    1.039,    0.202
    0.007,    0.649,    0.065,    1.033,    0.201
    0.007,    0.641,    0.064,    1.017,    0.198
    0.008,    0.720,    0.071,    1.154,    0.225
    0.008,    0.695,    0.071,    1.174,    0.228
    0.008,    0.684,    0.071,    1.172,    0.228
    0.008,    0.678,    0.071,    1.163,    0.226
    0.008,    0.674,    0.070,    1.152,    0.224
    0.008,    0.671,    0.070,    1.141,    0.222
    0.008,    0.678,    0.070,    1.144,    0.223
    0.009,    0.728,    0.073,    1.215,    0.237
    0.009,    0.730,    0.076,    1.271,    0.247
    0.010,    0.753,    0.078,    1.336,    0.260
    0.010,    0.750,    0.080,    1.378,    0.268
    0.011,    0.761,    0.082,    1.417,    0.276
    0.013,    0.807,    0.087,    1.553,    0.303
    0.012,    0.781,    0.088,    1.571,    0.306
    0.012,    0.775,    0.088,    1.566,    0.305
    0.012,    0.764,    0.087,    1.546,    0.301
    0.012,    0.780,    0.088,    1.558,    0.303
    0.012,    0.781,    0.088,    1.572,    0.306
    0.012,    0.767,    0.087,    1.555,    0.303
    0.012,    0.757,    0.086,    1.524,    0.297
    0.011,    0.749,    0.085,    1.493,    0.290
    0.011,    0.743,    0.084,    1.463,    0.285
    0.011,    0.737,    0.083,    1.436,    0.279
    0.010,    0.732,    0.081,    1.412,    0.275
    0.011,    0.769,    0.085,    1.485,    0.289
    0.011,    0.755,    0.085,    1.486,    0.289
    0.011,    0.748,    0.084,    1.475,    0.287
    0.011,    0.744,    0.084,    1.461,    0.284
    0.011,    0.741,    0.083,    1.447,    0.282
    0.011,    0.738,    0.082,    1.434,    0.279
    0.010,    0.735,    0.082,    1.422,    0.277
    0.010,    0.733,    0.081,    1.411,    0.275
    0.010,    0.731,    0.081,    1.401,    0.273
    0.010,    0.729,    0.081,    1.391,    0.271
    0.010,    0.727,    0.080,    1.382,    0.269
    0.010,    0.725,    0.080,    1.374,    0.267
    0.010,    0.723,    0.080,    1.367,    0.266
    0.010,    0.722,    0.079,    1.360,    0.265
    0.010,    0.720,    0.079,    1.354,    0.263
